country,date,yearly_cases,yearly_deaths,yearly_cases_per_million,yearly_deaths_per_million,Region,IncomeGroup,date_health,health_percentage_gdp
Asia excl. China,2022,105127055.0,231295.0,31957.810328125925,70.31188821796525,,,2022,
Australia,2019,,,,,East Asia & Pacific,High income,2019,10.21285057
Australia,2020,28381.0,920.0,1083.2058664790093,35.113258770328336,East Asia & Pacific,High income,2020,10.66040134
Australia,2021,338226.0,1523.0,12908.931587883775,58.12770989914139,East Asia & Pacific,High income,2021,10.42525291
Australia,2022,10418952.0,16467.0,397655.8235778587,628.4891654032573,East Asia & Pacific,High income,2022,9.92687893
Austria,2019,,,,,Europe & Central Asia,High income,2019,10.48753643
Austria,2020,352657.0,7379.0,38904.71903275069,814.0428851339044,Europe & Central Asia,High income,2020,11.31641102
Austria,2021,911872.0,9318.0,100596.68163068488,1027.9511591919936,Europe & Central Asia,High income,2021,12.15228558
Austria,2022,4436317.0,4937.0,489409.44437574025,544.6442233237685,Europe & Central Asia,High income,2022,11.15729332
Azerbaijan,2019,,,,,Europe & Central Asia,Upper middle income,2019,4.18188763
Azerbaijan,2020,216584.0,2575.0,21037.26221086683,250.1151986895712,Europe & Central Asia,Upper middle income,2020,5.84817696
Azerbaijan,2021,399768.0,5771.0,38830.31174746893,560.5494414126273,Europe & Central Asia,Upper middle income,2021,4.68526697
Azerbaijan,2022,209959.0,1662.0,20393.761942393663,161.43357678526888,Europe & Central Asia,Upper middle income,2022,3.97840643
Bahamas,2019,,,,,,,2019,
Bahamas,2020,7857.0,170.0,19766.435550904167,427.68156340253387,,,2020,
Bahamas,2021,16619.0,547.0,41809.646483451244,1376.1283245952118,,,2021,
Bahamas,2022,13015.0,116.0,32742.797339317505,291.8297726746705,,,2022,
Bahrain,2019,,,,,"Middle East, North Africa, Afghanistan & Pakistan",High income,2019,3.95980334
Bahrain,2020,92425.0,352.0,60274.23881967487,229.55403910766083,"Middle East, North Africa, Afghanistan & Pakistan",High income,2020,4.7196188
Bahrain,2021,188981.0,1042.0,123242.47688808196,679.5321271312004,"Middle East, North Africa, Afghanistan & Pakistan",High income,2021,4.49223804
Bahrain,2022,415208.0,142.0,270774.64053924324,92.60418623093165,"Middle East, North Africa, Afghanistan & Pakistan",High income,2022,3.83745313
Bangladesh,2019,,,,,South Asia,Lower middle income,2019,2.25762248
Bangladesh,2020,513510.0,7559.0,3031.6172690733983,44.62619021426227,South Asia,Lower middle income,2020,2.27063942
Bangladesh,2021,1072029.0,20513.0,6328.954897368085,121.10292894101892,South Asia,Lower middle income,2021,2.36551309
Bangladesh,2022,451586.0,1368.0,2666.0355515409246,8.076283663594495,South Asia,Lower middle income,2022,2.39038587
Barbados,2019,,,,,Latin America & Caribbean,High income,2019,6.12043858
Barbados,2020,372.0,7.0,1317.896467187212,24.79912707072711,Latin America & Caribbean,High income,2020,7.27405739
